MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
11.87649471,-4.273225309,11.87649471,0.119942605,0.096775434,1141.855,1046.095,1140.648232,428,0,0.415911233,-0.364117452,0.415911233,0.364117452,0.623376623,1.090909091,1.480519481,35.49569519,9.815756268,2.368497337,-2.442945974,2.676141189,-2.316130797,7.707958167,-0.137137635,2.50575E-07,2521.771639,57.25177265,49.81933625,53.25854677,36.32990823,27.77245143,32.83042505,22.18680823,32.52519308,14.48553641,26.23907357,10.66694351,23.20354379,-3.14,1.60E+16,66.37230143,31.17341659,17.92545431,470.454073,4.523094937,6.263162996,7.506598687,7.506598687,0,6.176298517,18.75623356,9.34083238,17.68673659,0,171.4765819,195.1061677,17.13084121,11.76029506,17.69434008,39.84026525,0,28.50874421,9.260476438,147.9223822,77.02147623,130.7319519,0,22.25380597,5.304539896,13.17124514,0,34.53572536,116.8482093,6.176298517,0,152.6819007,117.239084,5.022633314,22.25380597,0,66.95,26.75294738,13.17124514,0,7.921588092,22.77635145,41.12238243,81.90440186,40.01835243,30.33183534,183.8498268,25.38451127,61.76338341,5.394404762,0,5.674849773,11.18364873,1.644060097,29.15885671,13.67062748,17.16114796,16.72865071,0.557377049,77,0,9,2,0,2,4,1,5,3,0,16,15,2,0,2,7,18.9035,330.51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.90427249,-4.235416667,11.90427249,0.119942605,0.096772905,1186.306,1090.546,1184.597716,428,0,0.415910809,-0.364117452,0.415910809,0.364117452,0.623376623,1.090909091,1.480519481,79.91873204,9.815756268,2.368478118,-2.442945974,2.67614552,-2.316130796,9.103020473,-0.137149138,2.50575E-07,2521.771639,57.25177265,49.81933625,54.08861436,36.32990823,27.77245143,33.24545885,22.18680823,33.00443283,14.48553641,26.51576277,10.66694351,23.34188839,-2.95,1.60E+16,66.56105812,31.3118045,18.02074165,474.0183544,4.523094937,6.263162996,7.506598687,7.506598687,0,6.176298517,18.75623356,9.34083238,17.68673659,0,175.8055859,195.1061677,16.58092741,11.76029506,17.69434008,44.16926926,0,28.50874421,9.260476438,147.9223822,77.02147623,130.1820381,0,22.25380597,5.304539896,13.17124514,0,38.86472936,116.8482093,6.176298517,0,152.6819007,121.7118035,0,22.25380597,0,66.95,26.75294738,13.17124514,0,7.921588092,22.22643765,41.12238243,81.90440186,40.01835243,30.33183534,199.7797707,13.78357138,62.49069822,3.044821429,0,5.37114607,11.23809317,1.644060097,29.63146474,13.70843612,17.16114796,16.72865071,0.557377049,77,0,9,2,0,2,4,1,5,3,0,16,15,2,0,2,7,19.0126,333.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.91712963,-4.217916667,11.91712963,0.119942605,0.076413478,1233.306,1137.546,1232.583852,428,0,0.415910727,-0.364117452,0.415910727,0.364117452,0.623376623,1.090909091,1.480519481,126.9127049,9.815756268,2.368474464,-2.442945973,2.676129436,-2.316130796,14.11192483,-0.137150931,2.51E-07,2521.771639,57.25177265,49.81933625,54.66011611,36.32990823,27.77245143,33.53120973,22.18680823,33.33438952,14.48553641,26.70626335,10.66694351,23.43713868,-2.7,1.60E+16,66.80943134,31.49412482,18.14640726,479.4126449,4.523094937,6.263162996,7.506598687,7.506598687,0,6.176298517,18.75623356,9.34083238,17.68673659,0,159.875642,217.6970383,15.67839017,11.76029506,17.69434008,50.83019599,0,28.50874421,9.260476438,147.9223822,77.02147623,129.2795008,0,22.25380597,5.304539896,13.17124514,0,45.52565609,116.8482093,6.176298517,3.570182271,152.6819007,117.239084,0,22.25380597,0,66.95,26.75294738,13.17124514,0,7.921588092,17.75371814,44.6925647,81.90440186,40.01835243,52.92270597,183.8498268,13.78357138,62.68676965,1.9573,0,5.37114607,11.26329317,1.644060097,29.85021474,13.72593612,17.16114796,16.72865071,0.557377049,77,0,9,2,0,2,4,1,5,3,0,16,15,2,0,2,7,18.8547,338.217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.6130839,-2.082191358,5.6130839,0.119942605,0.090489627,1103.884,1005.1,1102.671412,416,0,0.212193378,-0.496766759,0.496766759,0.212193378,0.626666667,1.106666667,1.506666667,35.49569503,9.815756268,2.365334745,-2.442945954,2.67595039,-2.316130739,7.707954084,0.414572459,2.49E-07,2429.501758,55.45887943,49.59369112,53.03290164,35.65658817,27.56787715,32.62585078,21.84020043,32.17858528,14.36332793,26.11686509,10.59875209,23.13535236,-3.13,8.77404E+15,64.39569639,31.45874429,17.43033475,463.071012,9.259957891,12.01267483,7.506598687,7.506598687,0,0,18.75623356,9.34083238,4.515491449,0,171.4765819,195.1061677,17.13084121,13.30664111,9.259957891,39.84026525,0,28.50874421,9.260476438,141.7460837,84.13127377,125.1685004,0,28.0033178,10.04140285,0,5.749511833,34.53572536,123.9580069,0,0,147.1184492,117.239084,5.022633314,22.25380597,0,76.18,15.01319737,0,0,7.921588092,17.75371814,39.76179344,69.77166772,59.26088411,42.46456948,183.8498268,30.12137422,31.04442397,5.6130839,0,6.103368292,11.86244502,2.476837874,32.06760671,17.94385279,17.16114796,18.35686311,0.557377049,75,0,10,2,0,2,4,1,5,4,0,14,16,2,0,2,7,17.8933,332.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.411527778,-2.082191358,5.411527778,0.119942605,0.090485402,1148.335,1049.551,1146.620896,416,0,0.212193378,-0.496767202,0.496767202,0.212193378,0.626666667,1.106666667,1.506666667,79.91873201,9.815756268,2.365330998,-2.442945953,2.675954488,-2.316130738,9.103020367,0.41447687,2.49E-07,2429.501758,55.45887943,49.59369112,53.86296923,35.65658817,27.56787715,33.04088458,21.84020043,32.65782503,14.36332793,26.39355429,10.59875209,23.27369696,-2.94,8.77404E+15,64.58438731,31.60026147,17.52564059,466.6352934,9.259957891,12.01267483,7.506598687,7.506598687,0,0,18.75623356,9.34083238,4.515491449,0,175.8055859,195.1061677,16.58092741,13.30664111,9.259957891,44.16926926,0,28.50874421,9.260476438,141.7460837,84.13127377,124.6185866,0,28.0033178,10.04140285,0,5.749511833,38.86472936,123.9580069,0,0,147.1184492,121.7118035,0,22.25380597,0,76.18,15.01319737,0,0,7.921588092,17.75371814,39.21187964,69.77166772,47.12814997,54.59730362,199.7797707,18.52043433,32.15473262,3.319056122,0,5.37114607,11.86244502,2.531282319,32.54021474,17.94385279,17.16114796,18.38464089,0.557377049,75,0,10,2,0,2,4,1,5,4,0,14,16,2,0,2,7,18.0024,334.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.411527778,-2.082191358,5.411527778,0.119942605,0.071447988,1195.335,1096.551,1194.607032,416,0,0.212193378,-0.496767288,0.496767288,0.212193378,0.626666667,1.106666667,1.506666667,126.9127049,9.815756268,2.36533029,-2.442945953,2.675940229,-2.316130738,14.11192461,0.414466086,2.49E-07,2429.501758,55.45887943,49.59369112,54.43447098,35.65658817,27.56787715,33.32663545,21.84020043,32.98778172,14.36332793,26.58405488,10.59875209,23.36894725,-2.69,8.77404E+15,64.83267474,31.78669734,17.65133875,472.0295839,9.259957891,12.01267483,7.506598687,7.506598687,0,0,18.75623356,9.34083238,4.515491449,0,159.875642,217.6970383,15.67839017,13.30664111,9.259957891,50.83019599,0,28.50874421,9.260476438,141.7460837,84.13127377,123.7160493,0,28.0033178,10.04140285,0,5.749511833,45.52565609,123.9580069,0,3.570182271,147.1184492,117.239084,0,22.25380597,0,76.18,15.01319737,0,0,7.921588092,17.75371814,34.73916012,73.34184999,47.12814997,54.59730362,206.4406975,18.52043433,32.32973262,2.25724898,0,5.37114607,11.86244502,2.556482319,32.75896474,17.94385279,17.16114796,18.39749803,0.557377049,75,0,10,2,0,2,4,1,5,4,0,14,16,2,0,2,7,17.8445,339.767,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.668639456,-2.082191358,5.668639456,0.119942605,0.091215843,1101.912,1001.112,1100.692147,416,0,0.212193378,-0.364117452,0.364117452,0.212193378,0.6,1.08,1.48,35.49569502,9.815756266,2.365332386,-2.442945953,2.67593241,-2.316130735,7.707954231,0.419806783,2.49E-07,2424.116564,55.45887943,49.89254961,53.33176013,35.65658817,28.01616489,33.07413852,22.1621757,32.50056056,14.63549345,26.38903062,10.74818133,23.28478161,-2.93,8.77404E+15,64.59431859,31.60771392,17.53066207,464.3224089,4.523094937,6.263162996,7.506598687,7.506598687,0,0,18.75623356,9.34083238,4.515491449,0,190.5330533,194.9577067,17.13084121,6.196843572,4.523094937,39.84026525,0,28.50874421,9.260476438,155.0906425,77.02147623,130.7319519,0,22.25380597,5.304539896,0,0,34.53572536,116.8482093,6.420821623,0,159.6056379,117.239084,5.022633314,22.25380597,0,66.95,15.01319737,0,0,7.921588092,17.75371814,40.43310323,75.33511921,40.01835243,54.59730362,190.773564,25.38451127,26.13389928,5.668639456,0,6.183368292,13.1952228,1.644060097,32.76205116,19.02437748,19.28936036,16.72865071,0.564516129,75,0,9,2,0,2,4,1,5,3,0,13,16,2,0,2,7,18.4471,334.886,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.411527778,-2.082191358,5.411527778,0.119942605,0.091211453,1146.363,1045.563,1144.641632,416,0,0.212193378,-0.364117452,0.364117452,0.212193378,0.6,1.08,1.48,79.91873201,9.815756267,2.365328805,-2.442945953,2.675936409,-2.316130734,9.103019786,0.419806786,2.49E-07,2424.116564,55.45887943,49.89254961,54.16182772,35.65658817,28.01616489,33.48917231,22.1621757,32.97980031,14.63549345,26.66571982,10.74818133,23.42312621,-2.74,8.77404E+15,64.78301636,31.74938941,17.62617228,467.8866903,4.523094937,6.263162996,7.506598687,7.506598687,0,0,18.75623356,9.34083238,4.515491449,0,194.8620573,194.9577067,16.58092741,6.196843572,4.523094937,44.16926926,0,28.50874421,9.260476438,155.0906425,77.02147623,130.1820381,0,22.25380597,5.304539896,0,0,38.86472936,116.8482093,6.420821623,0,159.6056379,121.7118035,0,22.25380597,0,66.95,15.01319737,0,0,7.921588092,17.75371814,39.88318943,75.33511921,40.01835243,30.33183534,230.9689762,13.78357138,27.28639928,3.374611678,0,5.37114607,13.24966725,1.644060097,33.23465918,19.06218612,19.31713813,16.72865071,0.564516129,75,0,9,2,0,2,4,1,5,3,0,13,16,2,0,2,7,18.5562,337.576,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.411527778,-2.082191358,5.411527778,0.119942605,0.072021229,1193.363,1092.563,1192.627768,416,0,0.212193378,-0.364117452,0.364117452,0.212193378,0.6,1.08,1.48,126.9127049,9.815756267,2.365328128,-2.442945953,2.675923088,-2.316130734,14.1119246,0.419806788,2.49E-07,2424.116564,55.45887943,49.89254961,54.73332947,35.65658817,28.01616489,33.77492319,22.1621757,33.309757,14.63549345,26.8562204,10.74818133,23.5183765,-2.49,8.77404E+15,65.03131271,31.93603248,17.7521385,473.2809808,4.523094937,6.263162996,7.506598687,7.506598687,0,0,18.75623356,9.34083238,4.515491449,0,178.9321134,217.5485773,15.67839017,6.196843572,4.523094937,50.83019599,0,28.50874421,9.260476438,155.0906425,77.02147623,129.2795008,0,22.25380597,5.304539896,0,0,45.52565609,116.8482093,6.420821623,3.570182271,159.6056379,117.239084,0,22.25380597,0,66.95,15.01319737,0,0,7.921588092,17.75371814,35.41046991,78.90530148,40.01835243,30.33183534,237.6299029,13.78357138,27.44389928,2.312804535,0,5.37114607,13.27486725,1.644060097,33.45340918,19.07968612,19.32999528,16.72865071,0.564516129,75,0,9,2,0,2,4,1,5,3,0,13,16,2,0,2,7,18.3983,342.593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.428580247,-2.082191358,5.428580247,0.119942605,0.075779121,1074.846,979.086,1073.656096,404,0,0.212193378,-0.364117452,0.364117452,0.212193378,0.616438356,1.109589041,1.493150685,35.49570002,9.815756282,2.365106664,-2.442945945,2.675838424,-2.316130702,7.707947326,0.419806821,2.48E-07,2360.095483,53.88152916,48.13265642,51.57186694,34.72473652,26.90461833,31.96259196,21.33461744,31.62381525,13.94278623,25.66792525,10.36999267,22.9096877,-3,3.59182E+15,62.53893789,30.66666667,16.99539095,450.8121727,4.523094937,11.41627281,7.506598687,7.506598687,0,0,18.75623356,14.3248109,4.515491449,0,177.542949,182.9734335,18.30505147,6.196843572,4.523094937,39.84026525,0,33.49272273,9.260476438,141.7460837,77.02147623,125.4294534,0,22.25380597,5.304539896,0,0,34.53572536,121.8321879,0,0,147.1184492,117.3695605,5.153109817,22.25380597,0,79.84,15.01319737,0,0,7.921588092,22.90682796,28.98964829,69.77166772,52.28156307,42.46456948,188.8338054,25.38451127,26.13389928,5.428580247,3.744598765,5.915127551,11.86244502,1.644060097,30.24550795,19.59894538,17.16114796,16.72865071,0.559322034,73,0,10,2,0,2,3,2,5,4,0,14,15,2,0,2,7,17.2797,323.303,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
