,num_rel_holes_0,num_rel_holes_1,num_rel_holes_2,num_holes_0,num_holes_1,num_holes_2,avg_lifetime_0,avg_lifetime_1,avg_lifetime_2,amplitude,length_Betti_0,sum_length_0,average_length_0,onset_longest_Betti_0,smallest_onset_1,polynomial_feature_1_0,polynomial_feature_2_0,polynomial_feature_3_0,polynomial_feature_4_0,area_Betti_1
24,1,0,0,94,0,0,630928714664.6152,0.0,0.0,29653649588224.0,1115.1192626953125,59307299178473.836,630928714664.6152,0.0,0.0,0.0,1278157008956843.2,0.0,5.914615904026288e+37,0.0
25,1,0,0,93,0,0,637712894392.1897,0.0,0.0,29653649588224.0,1070.6683349609375,59307299178473.64,637712894392.1897,0.0,0.0,0.0,1291779516124681.0,0.0,5.156968883207736e+37,0.0
26,1,0,0,94,0,0,630928714664.6106,0.0,0.0,29653649588224.0,1023.6682739257812,59307299178473.39,630928714664.6106,0.0,0.0,0.0,1277879394048695.2,0.0,4.368226419503463e+37,0.0
27,1,0,0,94,0,0,630928714664.6152,0.0,0.0,29653649588224.0,1115.1192626953125,59307299178473.836,630928714664.6152,0.0,0.0,0.0,1278157010732546.0,0.0,5.914730621762605e+37,0.0
28,1,0,0,93,0,0,637712894392.1897,0.0,0.0,29653649588224.0,1070.6683349609375,59307299178473.64,637712894392.1897,0.0,0.0,0.0,1291779514249560.0,0.0,5.157096216898455e+37,0.0
29,1,0,0,94,0,0,630928714664.6106,0.0,0.0,29653649588224.0,1023.6682739257812,59307299178473.39,630928714664.6106,0.0,0.0,0.0,1277879393579486.0,0.0,4.368364843372237e+37,0.0
30,1,0,0,97,0,0,6098062090853.922,0.0,0.0,295756011405312.0,1246.473876953125,591512022812830.4,6098062090853.922,0.0,0.0,0.0,1.3454898927709206e+16,0.0,8.889940478728146e+39,0.0
31,1,0,0,96,0,0,6161583570966.983,0.0,0.0,295756011405312.0,1202.02294921875,591512022812830.4,6161583570966.983,0.0,0.0,0.0,1.3594821680688806e+16,0.0,7.865124326266883e+39,0.0
32,1,0,0,97,0,0,6098062090853.922,0.0,0.0,295756011405312.0,1155.02294921875,591512022812830.4,6098062090853.922,0.0,0.0,0.0,1.3454562147053648e+16,0.0,6.766356194524199e+39,0.0
33,1,0,0,95,0,0,3417863273655.959,0.0,0.0,162348505497600.0,1194.3056640625,324697010997316.1,3417863273655.959,0.0,0.0,0.0,7232641879956081.0,0.0,2.299741889157835e+39,0.0
34,1,0,0,94,0,0,3454223521248.042,0.0,0.0,162348505497600.0,1149.8546142578125,324697010997315.94,3454223521248.042,0.0,0.0,0.0,7308928393599700.0,0.0,2.0209401016847977e+39,0.0
35,1,0,0,95,0,0,3417863273655.9546,0.0,0.0,162348505497600.0,1102.8546142578125,324697010997315.7,3417863273655.9546,0.0,0.0,0.0,7231137845371141.0,0.0,1.724940304485455e+39,0.0
36,1,0,0,93,0,0,3491365709648.5015,0.0,0.0,162348505497600.0,1190.989501953125,324697010997310.6,3491365709648.5015,0.0,0.0,0.0,7369021308596984.0,0.0,2.321629445835677e+39,0.0
37,1,0,0,92,0,0,3529315336927.2876,0.0,0.0,162348505497600.0,1146.5384521484375,324697010997310.44,3529315336927.2876,0.0,0.0,0.0,7448448663543782.0,0.0,2.0391639390470943e+39,0.0
38,1,0,0,93,0,0,3491365709648.4966,0.0,0.0,162348505497600.0,1099.5384521484375,324697010997310.2,3491365709648.4966,0.0,0.0,0.0,7367485069420693.0,0.0,1.738492840709945e+39,0.0
39,1,0,0,94,0,0,1413319190419.0762,0.0,0.0,66426001948672.0,1156.4937744140625,132852003899393.16,1413319190419.0762,0.0,0.0,0.0,2896102703413980.0,0.0,3.42112017255466e+38,0.0
40,1,0,0,93,0,0,1428516170961.2146,0.0,0.0,66426001948672.0,1112.0428466796875,132852003899392.95,1428516170961.2146,0.0,0.0,0.0,2926972274490128.0,0.0,2.993150829164353e+38,0.0
41,1,0,0,94,0,0,1413319190419.0713,0.0,0.0,66426001948672.0,1065.0428466796875,132852003899392.7,1413319190419.0713,0.0,0.0,0.0,2895480959037732.0,0.0,2.5422521570459683e+38,0.0
42,1,0,0,94,0,0,1413319190419.0762,0.0,0.0,66426001948672.0,1156.4937744140625,132852003899393.16,1413319190419.0762,0.0,0.0,0.0,2896102705816796.0,0.0,3.421161154430009e+38,0.0
43,1,0,0,93,0,0,1428516170961.2146,0.0,0.0,66426001948672.0,1112.0428466796875,132852003899392.95,1428516170961.2146,0.0,0.0,0.0,2926972274851321.5,0.0,2.9932140542066965e+38,0.0
44,1,0,0,94,0,0,1413319190419.0713,0.0,0.0,66426001948672.0,1065.0428466796875,132852003899392.7,1413319190419.0713,0.0,0.0,0.0,2895480951279817.5,0.0,2.5423252341345273e+38,0.0
